musicId,title,type,writer,composer,producer,genre,artist,album,releaseDate,src,duration,language,likes,downloads,lyrics,label,playCount,musicMood,storageTime,id,dramatic,aggressive,romantic,happy,sad,user_id,checkin_emotion_value,positive,negative,music_path
51,Taylor Swift - We Are Never Ever Getting Back Together.mp3,normal,,,,POP,,,,test/Taylor Swift - We Are Never Ever Getting Back Together.mp3,0,,0,0,,,0,,2023-12-19T21:09:51,6592abe93713042ee2067c1e,0.02623878,0.12237223,0.012135229,0.8392107,4.315126e-05,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\51.wav
52,USAO - Climax.mp3,normal,,,,ELECTRONIC,,,,test/USAO - Climax.mp3,0,,0,0,,,0,,2023-12-19T21:10:43,6592abe93713042ee2067c20,4.605563e-20,1.0,4.185556e-17,5.8947288e-24,6.5100635e-28,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\52.wav
53,Virtual Self - Particle Arts.mp3,normal,,,,ELECTRONIC,,,,test/Virtual Self - Particle Arts.mp3,0,,0,0,,,0,,2023-12-19T21:11:18,6592abe93713042ee2067c21,0.014269358,0.025784468,1.2346097e-05,0.9599314,2.53634e-06,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\53.wav
54,yihuik苡慧 - 就是爱你.mp3,normal,,,,POP,,,,test/yihuik苡慧 - 就是爱你.mp3,0,,0,0,,,0,,2023-12-19T21:11:50,6592abe93713042ee2067c2b,0.00048246133,3.881311e-07,0.002872919,0.9966204,2.3905752e-05,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\54.wav
55,"yihuik苡慧,Aioz - 苦茶.mp3",normal,,,,RNB_SOUL,,,,"test/yihuik苡慧,Aioz - 苦茶.mp3",0,,0,0,,,0,,2023-12-19T21:12:21,6592abea3713042ee2067c2d,0.09749375,0.06389825,0.027754538,0.8104817,0.0003718039,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\55.wav
56,Youngior - 琴与海.mp3,normal,,,,HIP_POP,,,,test/Youngior - 琴与海.mp3,0,,0,0,,,0,,2023-12-19T21:13:01,6592abe93713042ee2067c22,0.016734472,0.023578629,0.09390864,0.861683,0.004095225,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\56.wav
57,Youngior - 私语.mp3,normal,,,,HIP_POP,,,,test/Youngior - 私语.mp3,0,,0,0,,,0,,2023-12-19T21:13:21,6592abe93713042ee2067c23,1.2584569e-14,0.00050655846,0.9994935,9.802388e-11,1.0445901e-17,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\57.wav
58,Yuta Imai - UNKNOWN LEVELS Extended Mix.mp3,normal,,,,ELECTRONIC,,,,test/Yuta Imai - UNKNOWN LEVELS Extended Mix.mp3,0,,0,0,,,0,,2023-12-19T21:13:46,6592abe93713042ee2067c24,0.0012696743,0.9987072,1.2325048e-08,2.2922797e-05,6.886052e-08,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\58.wav
59,イロドリミドリ - 猫祭り.mp3,normal,,,,POP,,,,test/イロドリミドリ - 猫祭り.mp3,0,,0,0,,,0,,2023-12-19T21:14:10,6592abea3713042ee2067c30,0.0022599476,0.98664385,0.008300525,0.0020958972,0.0006996749,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\59.wav
60,ツユ - くらべられっ子.mp3,normal,,,,POP,,,,test/ツユ - くらべられっ子.mp3,0,,0,0,,,0,,2023-12-19T21:14:31,6592abea3713042ee2067c33,3.4553712e-05,0.9995646,0.00039975755,2.197287e-07,8.328869e-07,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\60.wav
